یہودیو,yahodiyo
العالمین,alameen
علامت,alamat
الاؤ,alaao
الیقین,al-yaqeen
الامین,al-ameen
الحقیقت,al haqeeqat
اکسائے,aksaye
اکثر,aksar
اکھڑی,akhrhi
آخرت,akhirat
اکٹھا,akhatta
اکڑتا,akharta
اکیلا,akela
اکارت,akart
اَکارت,akart
اکیلے,akailey
عجمی,ajmi
عجیب,ajeeb
اجر,ajar
اَجر,ajar
فانی,ajab
آجا,aja
اعزاز,aizaz
عوض,aiwz
اعتکاف,aitekaf
اعتدال,aitdaal
اعتبار,aitbaar
ایسوں,aison
ایسی,aisi
عیش,aish
ایسے,aisay
ایسا,aisa
اعراف,airaaf
عین,ain
عٓ,ain
ایک,aik
ايک,aik
عیب,aib
احوال,ahwaal
احتیاط,ahthyat
احسان,ahsaan
احرام,ahraam
احمد,Ahmed
احمق,ahmaq
میوہ,ahla
اہل,ahal
آہا,ahaa
اگلی,agli
اگلے,aglay
اگلا,agla
اغنیا,aghnya
اُگایا,aُgaya
آگے,agay
اگرچہ,agarchay
اگر,agar
افضل,afzal
افترا,aftara
خصوصیت,aftaab
افسوس,afsos
افسر,Afsar
ایذا,aeza
عائد,aed
اے,ae
عدولی,aduli
اَدسر,Adsar
ادریس,adrees
ادرک,adrak
ادنیٰ,adna
آدمیوں,admion
ادھ,adh
ادبی,adbi
عداوت,adawat
عدل,Adal
اداکر,adakr
ادب,adab
ادا,ada
اچھوں,achoon
اچھی,achi
اچھالتے,achhalte
اچھے,achay
اچانک,achanak
اچھا,acha
عبث,abs
ابر,abr
اُبلا,abla
ابھی,abhi
توڑے,abharti
ابھارے,abhare
اُبھارے,abhare
ابو,abbu
آبادی,abadi
آباد,abad
اب,ab
آزمائیں,aazmayen
آزمانا,aazmana
آزمایا,aazmaaya
آزماتا,aazmaata
آزما,aazma
آزمائے,aazamaa_e
آیئے,aayye
آئی,aayi
آئے,aaye
آیت,aayat
آیا,aaya
آوے,aawe
آوازیں,aawazian
آواز,aawaz
چاه,aawar
آتش,aatish
آتیں,aatin
آتی,aati
آٹھواں,aathwan
آٹھ,aath
عطائیں,aatain
آتا,aata
آسودہ,aasooda
آسمان,aasman
آشنا,aashna
آسن,aasen
آسائشوں,aasayshon
آسانی,aasani
آسکتا,aasakta
آسان,aasaan
آس,aas
آرزوئیں,aarzoyeen
آڑ,aarr
آراستہ,aarasta
آرام,aaraam
آقا,aaqa
آپے,aapay
آپس,aapas
آپڑیں,Aaparain
آپا,aapa
آپ,aap
آؤ,aao
آنت,aant
آنسوؤں,aanso-on
آنکھوں,aankhon
آنکھ,aankh
آنگن,aangan
آندھی,aandhi
آنچ,aanch
انار,aanar
آنا,aana
آمنے,aamnay
پلاتا,aamna
فرمانبرداروں,aamlin
اعمالیوں,aamalyon
اعمال,aamaal
عام,aam
عالموں,aalmon
عالم,aalam
اعلیٰ,aala
آخر,aakhir
عاجزی,aajzi
عاجز,aajiz
آج,aaj
آہستہ,aahista
آہیں,aahein
آغاز,aaghaz
آگاہ,aagah
آگ,aag
آفتوں,aafton
آفت,aafat
آدمی,aadmi
آدھی,aadhi
آدھا,aadha
آدھ,aadh
آڑے,aade
عادت,aadat
آدم,aadam
عاد,Aad
آبرو,aabaroo
آباء,aaba
آ,aa
اُ,aُ
ا,a
٦,6️⃣
٤,4️⃣
ٴ,?
اپنے,–apne
